,language,russian_ipa_segments,target_ipa_segments,count,corresponding_target_ipa
22,Akhvakh,'o,'u,6,"[""b-i-t-'u-0"", ""n-a-l-'u-k-a"", ""p-a-0-t-'u"", ""p-a-p-0-r-'u-sː-i"", ""r-ẽ-ʔ-'u-0"", ""sː-'u-d-a""]"
23,Akhvakh,'o,a,1,"[""b-i-d-'i-r-a""]"
24,Akhvakh,'o,i,2,"[""ʃː-'o-p-i-r-i"", ""tʃ-'a-d-i-0""]"
25,Akhvakh,'o,o,2,"['p-a-m-i-d-o-r-o', ""z-w-a-n-o-k-'i""]"
26,Akhvakh,'o,oː,1,['k-ã-0-t-oː-r-a']
27,Akhvakh,'o,u,3,"['k-a-0-t-u-ʃ-k-a', 'k-a-0-t-u-ʃː-i-0-0', ""w-'a-ɡ-u-0""]"
28,Akhvakh,'o,ũ,1,"[""b-'a-l-ũ-0""]"
29,Akhvakh,'u,'oː,1,"[""qː-a-r-0-'oː-ɬ-e""]"
30,Akhvakh,'u,'u,11,"[""b-e-l-a-r-'u-s"", ""t-'u-r-0-k"", ""ʕ-u-r-'u-s"", ""k-a-s-t-'u-0"", ""m-i-n-'u-t-i"", ""p-'u-t-i"", ""p-i-s-k-u-0-t-'u-r-a"", ""sː-'u-d-i"", ""t-'u-k-i"", ""t-'u-p-i"", ""t'-'u-p'-i-l-i""]"
31,Akhvakh,'u,0,1,"[""qː-a-r-'oː-0-0""]"
32,Akhvakh,'u,u,3,"['ʕ-u-r-u-s', 'j-u-b-k-a', ""t-u-0-k-'i""]"
33,Akhvakh,0,'a,1,"[""ɡ-'a-r-a-0""]"
34,Akhvakh,0,'e,1,"[""a-0-m-a-sː-'e""]"
35,Akhvakh,0,'i,5,"[""b-a-t-u-ʃː-'i-k'-a"", ""b-i-d-'i-r-a"", ""k-'i-r-i-ʕ-a-l-i-0"", ""sː-u-d-'i-j-a"", ""z-w-a-n-o-k-'i""]"
36,Akhvakh,0,a,11,"[""k-a-r-'a-w-a-t-e"", ""k-a-z-'i-j-a-t-e"", ""l-'i-t-i-r-a"", ""m-'e-t-r-a"", ""m-'i-t-i-r-a"", ""m-'i-t-r-a"", ""n-'e-ɡ-r-a"", ""n-'e-m-0-ts-a"", ""n-a-l-'u-k-a"", ""p-a-r-'a-z-n-i-k'-e"", ""u-t-0-'u-sː-k-a""]"
37,Akhvakh,0,e,7,"[""k-a-r-'a-w-a-t-e"", ""p-a-r-'a-z-n-i-k'-e"", ""p-a-s-'a-k-e"", ""qː-a-r-0-'oː-ɬ-e"", ""r-a-ʃː-'o-t-e"", ""tʃ-'eː-0-n-i-k'-e"", ""χ-'aː-ʕ-a-t-e""]"
38,Akhvakh,0,i,57,"[""a-l-p-a-w-'i-t-i"", ""a-p-i-ts-'e-r-i"", ""a-r-t-'e-l-i"", ""a-w-'a-0-s-i"", ""b-'o-tʃ-i-k-a"", ""b-'o-z-i"", ""ɡ-'a-z-i"", ""hʷ-a-n-'a-r-i"", ""i-s-p-'i-tʃ-k-a"", ""i-ʃ-k-'a-p-i"", ""i-ʃ-k-'a-p-i"", ""j-'a-ʃː-u-r-i"", ""j-a-ʃː-'i-k-i"", 'k-a-0-t-u-ʃː-i-0-0', ""k-e-0-p-'e-tʃ-i"", ""k-i-0-p-'i-tʃ-i"", ""k-i-n-'i-ʃː-i-k'-a"", ""k-i-n-'i-ʃː-i-k'-a"", ""k-i-r-'i-m-d-i-ʃː-i-0"", ""k'-'a-p'-i-l-i"", ""l-'a-ɡ-i-r-i"", ""l-'i-t-i-r-a"", ""l-a-p-'a-t-i-k-a"", ""m-'a-z-i"", ""m-'i-t-i-r-a"", ""n-'i-k-i-l-i"", 'o-0-d-i-r-i', ""o-k-'o-l-i"", ""p-'e-tʃ-i"", ""p-'u-t-i"", ""p-a-l-'a-sː-i"", ""p-a-l-a-t'-i-n-'o"", ""p-a-n-'a-r-i"", ""p-a-ʃ-l-'i-qː-i"", ""p-ẽ-0-s-i-a-n-'e-r-i"", ""p-e-tʃ-'a-t-i"", ""p-i-dʒ-'a-k-i"", ""p-i-tʃ-'a-t-i"", 's-u-χ-a-r-i', ""sː-'o-t-i-χː-e"", ""sː-'u-d-i"", ""sː-i-m-'i-0-t-i"", ""ʃː-'i-p-i-r-i"", ""ʃː-'o-p-i-r-i"", ""ʃː-i-p-a-n-0-'e-r-i"", ""t-'o-k-i"", ""t-'o-l-i"", ""t-'u-k-i"", ""t-'u-p-i"", ""t-e-t-r-'a-t-i"", ""t-i-l-m-'a-tʃ-i"", ""t-i-t-r-'a-t-i"", ""t'-'u-p'-i-l-i"", ""w-a-l-'e-t-i"", ""z-'a-k-i-sː-i"", ""z-'a-k-i-sː-i"", 'χːʷ-a-ʒ-a-i-n-i']"
39,Akhvakh,0,j,1,"[""k-a-z-'i-j-a-t-e""]"
40,Akhvakh,0,o,4,"[""k-'e-t-o"", 'p-a-m-i-d-o-r-o', 'ʃː-e-n-e-l-o', ""t-'o-χ-t-o-r-o""]"
41,Akhvakh,0,u,5,"[""ʕ-u-r-'u-s"", 'ʕ-u-r-u-s', ""m-a-q'ː-u-l-'u-ʃː-k-a"", ""t-u-r-u-b-'a"", ""ʕ-0-eː-r-a-p-u-l-'a-0""]"
42,Akhvakh,0,ʕ,5,"[""ʕ-u-r-'u-s"", 'ʕ-u-r-u-s', ""k-'i-r-i-ʕ-a-l-i-0"", ""k-'i-r-ʕ-a-l-i-0"", ""ʕ-0-eː-r-a-p-u-l-'a-0""]"
43,Akhvakh,A,'a,6,"[""b-'a-d-r-a-ʒ-a-0"", ""b-'a-l-ũ-0"", ""k-a-ʁ-0-'a"", ""l-ã-0-p-'a"", ""tʃ-'a-d-i-0"", ""w-'a-ɡ-u-0""]"
44,Akhvakh,A,'aː,1,"[""χ-'aː-ʕ-a-t-e""]"
45,Akhvakh,A,'oː,1,"[""qː-a-r-'oː-0-0""]"
46,Akhvakh,A,0,8,"[""χːʷ-'a-ʒ-0-0-0-0"", 'k-a-0-t-u-ʃː-i-0-0', ""l-a-t-a-r-'e-0-0"", ""l-e-z-'e-0-0"", ""p-u-r-ʒ-'i-0-0"", ""qː-a-r-0-'oː-ɬ-e"", ""r-e-z-'e-0-0"", ""ʕ-0-eː-r-a-p-u-l-'a-0""]"
47,Akhvakh,A,a,72,"['a-m-e-r-i-k-ã-0-0-ts', ""a-r-m-'e-n"", 'a-sː-e-t-i-n', 'a-sː-e-t-i-n', ""b-a-ʃ-k-'i-r"", ""t-a-t-'a-r"", ""t-a-t-'a-r"", ""u-k-r-a-'i-n-a"", ""u-k-r-a-'i-n-a"", ""a-0-m-a-sː-'e"", ""a-l-p-a-w-'i-t-i"", ""a-l-p-a-w-'i-t-i"", ""a-r-t-'e-l-i"", ""a-w-'a-0-s-i"", ""a-w-'a-r-i-j-a"", ""a-w-'a-r-i-j-a"", ""b-'a-d-r-a-ʒ-a-0"", ""b-'o-tʃ-i-k-a"", ""b-a-t-u-ʃː-'i-k'-a"", ""ɡ-a-l-i-p-'e"", ""hʷ-a-n-'eː-r-a"", ""hʷ-a-n-'eː-r-a"", ""i-s-p-'i-tʃ-k-a"", 'j-u-b-k-a', ""k-'i-r-i-ʕ-a-l-i-0"", ""k-'i-r-ʕ-a-l-i-0"", ""k-a-0-s-0-0-'a-r-0-0-a"", ""k-a-0-s-0-0-'a-r-0-0-a"", 'k-ã-0-t-oː-r-a', 'k-a-0-t-u-ʃ-k-a', 'k-a-0-t-u-ʃ-k-a', 'k-a-0-t-u-ʃː-i-0-0', ""k-a-z-'eː-t-e"", ""k-a-z-'i-j-a-t-e"", ""k-i-n-'i-ʃː-i-k'-a"", ""l-'a-0-p-o-tʃ-k-a"", ""l-a-p-'a-t-i-k-a"", ""l-a-p-'a-t-k-a"", ""l-a-p-sː-'a-0"", ""l-a-t-a-r-'e-j-a"", ""l-e-z-'e-0-k-a"", ""m-'a-0-k'-a"", ""m-a-q'ː-u-l-'u-ʃː-k-a"", ""m-a-q'ː-u-l-'u-ʃː-k-a"", ""m-a-ʃ-'i-n-a"", ""m-a-ʃ-'i-n-a"", ""m-i-l-'i-ts-0-0-a"", ""n-a-l-'u-k-a"", ""p-'e-0-s-i-j-a"", ""p-'e-r-m-a"", ""p-'i-0-k-a"", ""p-'i-0-k-a"", ""p-'o-r-m-a"", ""p-a-0-t-'u"", ""p-a-l-'a-sː-i"", ""p-a-n-'eː-r-a"", ""p-a-n-'eː-r-a"", ""p-a-p-0-r-'u-sː-i"", ""p-a-ʃ-l-'i-qː-i"", ""p-i-0-s-'i-j-a"", ""p-i-s-k-u-0-t-'u-r-a"", ""qː-a-r-'oː-0-0"", ""qː-a-r-0-'oː-ɬ-e"", ""r-e-z-'e-0-k-a"", ""sː-'i-m-i-tʃ-k-a"", ""sː-'u-d-a"", 't-e-l-e-ɡ-a-r-0-a', ""tʃ-'a-k-a-0"", ""tʃ-i-χ-'o-t-k-a"", ""tʃ'-'a-tʃ'-a"", ""u-tʃ-'i-t-ẽ-0-0-0-ts-a"", ""w-a-l-'e-t-i""]"
48,Akhvakh,A,ã,1,['a-m-e-r-i-k-ã-0-0-ts']
49,Akhvakh,A,e,3,"[""k-a-z-'eː-t-e"", ""k-a-z-'i-j-a-t-e"", ""sː-'o-t-i-χː-e""]"
50,Akhvakh,A,ẽ,2,"[""r-ẽ-ʔ-'u-0"", ""sː-ẽ-t-'e-0""]"
51,Akhvakh,A,i,6,"[""k-e-m-0-'e-t-i"", ""k'-e-b-'e-0-k'-i"", ""m-i-n-'u-t-i"", ""p-'o-tʃ-0-i"", ""p-a-p-0-r-'u-sː-i"", ""tʃ-i-χ-'o-t-k-a""]"
52,Akhvakh,B,b,1,['j-u-b-k-a']
53,Akhvakh,D,d,1,"[""sː-'u-d-i""]"
54,Akhvakh,D,t,1,"[""p-'u-t-i""]"
55,Akhvakh,Dʲ,t,2,"[""t-e-t-r-'a-t-i"", ""t-i-t-r-'a-t-i""]"
56,Akhvakh,E,'i,3,"[""a-d-'i-j-a-0-0"", ""k-i-r-'i-m-d-i-ʃː-i-0"", ""sː-a-ʒ-'i-0""]"
57,Akhvakh,E,0,8,"['a-m-e-r-i-k-ã-0-0-ts', ""k-a-r-'eː-0-0-tsː"", 'k-a-r-eː-0-0-tsː', ""k-i-t-'a-j-0-tsː"", ""k-i-t-'a-j-0-tsː"", ""n-'e-m-0-ts"", ""k-a-0-s-0-0-'a-r-0-0-a"", ""n-'e-m-0-ts-a""]"
58,Akhvakh,E,a,5,"[""tʃ-a-tʃ-'a-n"", ""tʃ-a-tʃ-'a-n"", ""l-a-t-a-r-'e-0-0"", ""l-a-t-a-r-'e-j-a"", ""p-a-l-a-t-'i-0-ts'ː-a""]"
59,Akhvakh,E,e,14,"['a-sː-e-t-i-n', 'a-sː-e-t-i-n', ""b-e-l-a-r-'u-s"", ""k-i-t-'a-j-e-tsː"", ""l-e-z-ɡ-'i-n"", ""l-e-z-ɡ-'i-n"", ""l-e-z-'e-0-0"", ""l-e-z-'e-0-k-a"", ""p-e-tʃ-'a-t-i"", ""r-e-z-'e-0-0"", ""r-e-z-'e-0-k-a"", 't-e-l-e-ɡ-a-r-0-a', 't-e-l-e-ɡ-a-r-0-a', ""t-e-t-r-'a-t-i""]"
60,Akhvakh,E,eː,1,"[""ʕ-0-eː-r-a-p-u-l-'a-0""]"
61,Akhvakh,E,ẽ,2,"[""p-ẽ-0-s-i-a-n-'e-r-i"", ""u-tʃ-'i-t-ẽ-0-0-0-ts-a""]"
62,Akhvakh,E,i,13,"[""a-d-i-k-a-l-'o-0"", ""b-i-d-'i-r-a"", ""k-'i-r-i-ʕ-a-l-i-0"", ""k-i-r-'i-m-d-i-ʃː-i-0"", ""l-'a-ɡ-i-r-i"", ""n-'i-k-i-l-i"", 'o-0-d-i-r-i', ""p-i-tʃ-'a-t-i"", ""sː-'i-m-i-tʃ-k-a"", ""sː-i-m-'i-0-t-i"", ""ʃː-'i-p-i-r-i"", ""t-i-t-r-'a-t-i"", ""tʃː-'i-t-i-0""]"
63,Akhvakh,E,l,2,"[""u-tʃ-'i-tɬː-l-i"", ""u-tʃ-'i-tɬː-l-i""]"
64,Akhvakh,E,r,2,"[""k-'i-r-ʕ-a-l-i-0"", ""ʃː-'i-p-r-i""]"
65,Akhvakh,G,k,2,"[""n-a-l-'u-k-a"", ""z-'a-k-i-sː-i""]"
66,Akhvakh,I,'i,3,"[""j-a-ʃː-'i-k-i"", ""p-i-0-s-'i-j-a"", ""t-u-0-k-'i""]"
67,Akhvakh,I,0,4,"[""k-a-0-s-0-0-'a-r-0-0-a"", ""m-i-l-'i-ts-0-0-a"", ""p-a-p-0-r-'u-sː-i"", ""u-tʃ-'i-t-ẽ-0-0-0-ts-a""]"
68,Akhvakh,I,a,1,"[""p-a-t-'i-0-k-a""]"
69,Akhvakh,I,e,2,"[""k-e-0-p-'e-tʃ-i"", 'ʃː-e-n-e-l-o']"
70,Akhvakh,I,i,28,"['a-m-e-r-i-k-ã-0-0-ts', ""k-i-t-'a-j-e-tsː"", ""k-i-t-'a-j-0-tsː"", ""k-i-t-'a-j-0-tsː"", ""k-i-t-'a-j"", ""ts-i-ɡ-'a-0"", ""tsː-i-ɡ-'a-n"", ""a-p-i-ts-'e-r-i"", ""a-w-'a-r-i-j-a"", ""b-i-t-'u-0"", ""ɡ-a-l-i-p-'e"", ""k-i-0-p-'i-tʃ-i"", ""k-i-l-'o"", ""k'-'a-p'-i-l-i"", ""k'-'a-p'-l-i"", ""m-i-l-'i-ts-0-0-a"", ""m-i-lː-ĩ-'o-0"", ""m-i-n-'u-t-i"", ""p-'e-0-s-i-j-a"", 'p-a-m-i-d-o-r-o', ""p-a-r-'a-z-n-i-k'-e"", ""p-ẽ-0-s-i-a-n-'e-r-i"", ""p-i-dʒ-'a-k-i"", ""p-i-s-k-u-0-t-'u-r-a"", ""ʃː-i-p-a-n-0-'e-r-i"", ""t'-'u-p'-i-l-i"", ""tʃ-'eː-0-n-i-k'-e"", 'χːʷ-a-ʒ-a-i-n-i']"
71,Akhvakh,I,ĩ,2,"[""m-i-lː-ĩ-'o-0"", ""tsː-ĩ-ɡ-'a-0""]"
72,Akhvakh,O,'a,3,"[""χːʷ-'a-ʒ-0-0-0-0"", ""d-'a-s-k-a"", ""k-a-r-'a-w-a-t-e""]"
73,Akhvakh,O,'o,1,"[""ʃː-'o-p-i-r-i""]"
74,Akhvakh,O,0,2,"[""t-'u-r-0-k"", ""a-d-'i-j-a-0-0""]"
75,Akhvakh,O,a,27,"[""b-e-l-a-r-'u-s"", ""k-a-r-'eː-0-0-tsː"", 'k-a-r-eː-0-0-tsː', ""p-a-t-'i-0-k-a"", ""u-χː-a-d-n-'oː-0"", ""a-d-'i-j-a-0-0"", ""a-d-i-k-a-l-'o-0"", ""a-d-i-k-a-l-'o-0"", ""a-p-i-ts-'e-r-i"", ""hʷ-a-n-'a-r-i"", ""k-a-s-t-'u-0"", ""l-a-p-'a-t-i-k-a"", ""l-a-p-'a-t-k-a"", ""l-a-t-a-r-'e-0-0"", ""l-a-t-a-r-'e-j-a"", ""p-a-l-a-t-'i-0-ts'ː-a"", ""p-a-l-a-t-'i-0-ts'ː-a"", ""p-a-l-a-t'-i-n-'o"", ""p-a-l-a-t'-i-n-'o"", 'p-a-m-i-d-o-r-o', ""p-a-n-'a-r-i"", ""p-a-s-'a-k-e"", ""p-ẽ-0-s-i-a-n-'e-r-i"", ""ʃː-i-p-a-n-0-'e-r-i"", ""z-w-a-n-o-k-'i"", ""ʕ-0-eː-r-a-p-u-l-'a-0"", 'χːʷ-a-ʒ-a-i-n-i']"
76,Akhvakh,O,ã,1,['k-ã-0-t-oː-r-a']
77,Akhvakh,O,e,2,"[""k-e-m-0-'e-t-i"", ""k'-e-b-'e-0-k'-i""]"
78,Akhvakh,O,i,1,"[""t-i-l-m-'a-tʃ-i""]"
79,Akhvakh,O,o,2,"[""l-'a-0-p-o-tʃ-k-a"", ""t-'o-χ-t-o-r-o""]"
80,Akhvakh,U,'u,1,"[""u-t-0-'u-sː-k-a""]"
81,Akhvakh,U,o,1,"[""o-k-'o-l-i""]"
82,Akhvakh,U,r,2,"[""k-'u-r-p-a"", ""p-u-r-ʒ-'i-0-0""]"
83,Akhvakh,U,u,17,"[""t-u-r-k-m-'e-n"", ""t-u-r-k-m-'e-n"", ""u-k-r-a-'i-n-a"", ""u-tʃ-'i-tɬː-l-i"", ""u-z-b-'e-k"", ""u-z-b-'e-k"", ""u-z-b-'e-k"", ""u-χː-a-d-n-'oː-0"", ""b-a-t-u-ʃː-'i-k'-a"", ""b-u-r-'o"", ""j-'a-ʃː-u-r-i"", ""p-i-s-k-u-0-t-'u-r-a"", 's-u-χ-a-r-i', ""sː-u-d-'i-j-a"", ""t-u-r-u-b-'a"", ""u-tʃ-'i-t-ẽ-0-0-0-ts-a"", ""u-tʃ-'i-tɬː-l-i""]"
84,Akhvakh,V,p,1,"[""l-a-p-sː-'a-0""]"
85,Akhvakh,Z,s,1,"[""p-i-s-k-u-0-t-'u-r-a""]"
86,Akhvakh,Z,sː,1,"[""a-0-m-a-sː-'e""]"
87,Akhvakh,Z,z,1,"[""ɡ-'a-z-i""]"
88,Akhvakh,ZH,ʃː,1,"[""m-a-q'ː-u-l-'u-ʃː-k-a""]"
89,Akhvakh,Zʲ,z,2,"[""b-'o-z-i"", ""m-'a-z-i""]"
90,Akhvakh,a,a,1,"[""r-a-ʃː-'o-t-e""]"
91,Akhvakh,b,b,5,"[""b-a-ʃ-k-'i-r"", ""b-'a-d-r-a-ʒ-a-0"", ""b-'a-l-ũ-0"", ""b-'o-tʃ-i-k-a"", ""t-u-r-u-b-'a""]"
92,Akhvakh,b,m,1,"[""m-a-q'ː-u-l-'u-ʃː-k-a""]"
93,Akhvakh,b,p,3,"[""p-a-t-'i-0-k-a"", ""p-a-s-'a-k-e"", ""p-a-ʃ-l-'i-qː-i""]"
94,Akhvakh,bʲ,b,7,"[""b-e-l-a-r-'u-s"", ""u-z-b-'e-k"", ""u-z-b-'e-k"", ""u-z-b-'e-k"", ""b-'o-z-i"", ""b-i-t-'u-0"", ""b-u-r-'o""]"
95,Akhvakh,d,d,5,"[""u-χː-a-d-n-'oː-0"", ""b-i-d-'i-r-a"", ""d-'a-s-k-a"", 'p-a-m-i-d-o-r-o', ""sː-'u-d-a""]"
96,Akhvakh,d,t,2,"[""b-i-t-'u-0"", ""t-'o-χ-t-o-r-o""]"
97,Akhvakh,dʐ,dʒ,1,"[""p-i-dʒ-'a-k-i""]"
98,Akhvakh,dʲ,d,5,"[""a-d-'i-j-a-0-0"", ""a-d-i-k-a-l-'o-0"", ""k-i-r-'i-m-d-i-ʃː-i-0"", 'o-0-d-i-r-i', ""sː-u-d-'i-j-a""]"
99,Akhvakh,f,hʷ,2,"[""hʷ-a-n-'a-r-i"", ""hʷ-a-n-'eː-r-a""]"
100,Akhvakh,f,p,7,"[""a-l-p-a-w-'i-t-i"", ""ɡ-a-l-i-p-'e"", ""i-ʃ-k-'a-p-i"", ""p-'o-r-m-a"", ""p-a-n-'a-r-i"", ""p-a-n-'eː-r-a"", ""ʃː-i-p-a-n-0-'e-r-i""]"
101,Akhvakh,f,p',1,"[""t'-'u-p'-i-l-i""]"
102,Akhvakh,fʲ,0,1,"[""k-e-m-0-'e-t-i""]"
103,Akhvakh,fʲ,p,8,"[""a-p-i-ts-'e-r-i"", ""p-'e-r-m-a"", ""p-'i-0-k-a"", ""p-'i-0-k-a"", ""p-i-s-k-u-0-t-'u-r-a"", ""ʃː-'i-p-i-r-i"", ""ʃː-'i-p-r-i"", ""ʃː-'o-p-i-r-i""]"
104,Akhvakh,g,k,2,"[""k-a-z-'eː-t-e"", ""k-a-z-'i-j-a-t-e""]"
105,Akhvakh,g,ɡ,7,"[""n-'e-ɡ-r"", ""ɡ-'a-r-a-0"", ""ɡ-'a-z-i"", ""ɡ-a-l-i-p-'e"", ""n-'e-ɡ-r-a"", 't-e-l-e-ɡ-a-r-0-a', ""w-'a-ɡ-u-0""]"
106,Akhvakh,gʲ,ɡ,3,"[""l-e-z-ɡ-'i-n"", ""l-e-z-ɡ-'i-n"", ""l-'a-ɡ-i-r-i""]"
107,Akhvakh,j,0,10,"[""k-a-r-'eː-0-0-tsː"", 'k-a-r-eː-0-0-tsː', ""u-χː-a-d-n-'oː-0"", ""χːʷ-'a-ʒ-0-0-0-0"", ""k-a-0-s-0-0-'a-r-0-0-a"", ""k'-e-b-'e-0-k'-i"", ""l-a-t-a-r-'e-0-0"", ""m-i-l-'i-ts-0-0-a"", ""ʃː-i-p-a-n-0-'e-r-i"", ""tʃ-'eː-0-n-i-k'-e""]"
108,Akhvakh,j,j,13,"[""k-i-t-'a-j-e-tsː"", ""k-i-t-'a-j-0-tsː"", ""k-i-t-'a-j-0-tsː"", ""k-i-t-'a-j"", ""a-d-'i-j-a-0-0"", ""a-w-'a-r-i-j-a"", ""j-'a-ʃː-u-r-i"", ""j-a-ʃː-'i-k-i"", 'j-u-b-k-a', ""l-a-t-a-r-'e-j-a"", ""p-'e-0-s-i-j-a"", ""p-i-0-s-'i-j-a"", ""sː-u-d-'i-j-a""]"
109,Akhvakh,j,ʔ,1,"[""r-ẽ-ʔ-'u-0""]"
