ratio_of_changes,language,glottocode,lemma,pos,reference,meaning_ru,ipa_comparison,russian_ipa_comparison,metathesis,problems
0.5454545454545454,Karata-Tukita,kara1474,КАЗИЙА'Т,noun,"Magomedova, Khalidova 2001",газета,k-a-z-i-j-'a-t-0,g-a-zʲ-'e-0-0-t-a,,
0.5454545454545454,Botlikh,botl1242,мунапис,,"Alekseev, Azayev 2019",манифест,m-u-n-a-p-i-s-0,m-a-nʲ-i-fʲ-'e-s-t,,
0.5454545454545454,Akhvakh,akhv1239,ча'ди,noun,"Magomedova, Abdulayeva 2007",шатер,tʃ-'a-d-i-0,ʃ-a-tʲ-'o-r,,
0.5454545454545454,Godoberi,ghod1238,ЩÓПИР,,Saidova 2006,шофер,ʃ:-'o-p-i-r,ʃ-a-fʲ-'o-r,,
0.55,Botlikh,botl1242,пенсионе́р,noun,"Saidova, Abusov 2012",пенсионер,p-e-n-s-i-o-n-'e-r,pʲ-i-nʲ-sʲ-i-a-nʲ-'e-r,,
0.5555555555555556,Godoberi,ghod1238,ПÓДКАЛАС/И,,Saidova 2006,подготовительный класс,p-'o-d-k-a-l-a-s-i,p-a-t-k-0-l-'a-s-0,,
0.56,Karata-Tukita,kara1474,БЕ'ДЕРА,noun,"Magomedova, Khalidova 2001",ведро,b-'e-d-e-r-a,vʲ-i-d-0-r-'o,,
0.5625,Bagvalal,bagv1239,БУЛТ́ИН,,Magomedova 2004,бюллетень (избирательный),b-u-l-0-t-'i-n,bʲ-u-lʲ-i-tʲ-'e-nʲ,,
0.5625,Bagvalal,bagv1239,̄СИМ́ИШКА,,Magomedova 2004,семечки,s:-i-m-'i-ʃ-k-a,sʲ-'e-mʲ-i-tʃ-k-a,,
0.5714285714285714,Akhvakh,akhv1239,реᴴъу',noun,"Magomedova, Abdulayeva 2007",район,r-ẽ-ʔ-'u-0,r-a-j-'o-n,,
0.5714285714285714,Bagvalal,bagv1239,УЧИТ́ИР,,Magomedova 2004,учитель,u-tʃ-i-t-'i-r,u-tʃ-'i-tʲ-i-lʲ,,
0.5714285714285714,Tindi,tind1238,УЧИТИ́Р,,Magomedova 2003,учитель,u-tʃ-i-t-'i-r,u-tʃ-'i-tʲ-i-lʲ,,
0.5714285714285714,Bagvalal,bagv1239,ШÓПИР,,Magomedova 2004,шофер,ʃ-'o-p-i-r,ʃ-a-fʲ-'o-r,,
0.5714285714285714,Botlikh,botl1242,шо́пер,noun,"Saidova, Abusov 2012",шофер,ʃ-'o-p-e-r,ʃ-a-fʲ-'o-r,,
0.5714285714285714,Botlikh,botl1242,шо́пир,noun,"Alekseev, Azayev 2019",шофер,ʃ-'o-p-i-r,ʃ-a-fʲ-'o-r,,
0.5789473684210527,Karata-Tukita,kara1474,ПАТИ'ᴴКАД/И,,"Magomedova, Khalidova 2001",ботинки,p-a-t-'ĩ-0-k-a-d-i,b-a-tʲ-'i-n-kʲ-0-0-i,,
0.5833333333333334,Tindi,tind1238,КАГЪÁТИ,,Magomedova 2003,карта,k-a-ʁ-'a-t-i,k-'a-r-0-t-a,,
0.5853658536585366,Botlikh,botl1242,вече́рникI,noun,"Alekseev, Azayev 2019",вечерник,w-e-tʃ-'e-r-n-i-k'-0,vʲ-i-tʃ-i-rʲ-'i-n-k-a,1,
0.5882352941176471,Akhvakh,akhv1239,бо'зи,noun,"Magomedova, Abdulayeva 2007",бязь,b-'o-z-i,bʲ-a-zʲ-0,,
0.5882352941176471,Godoberi,ghod1238,БÓЗИ,noun,Saidova 2006,бязь,b-'o-z-i,bʲ-a-zʲ-0,,
0.5882352941176471,Karata-Tukita,kara1474,БОЗ/Е',noun,"Magomedova, Khalidova 2001",бязь,b-o-z-'e,bʲ-a-zʲ-0,,
0.5882352941176471,Godoberi,ghod1238,КЯРÁВАТ/И,,Saidova 2006,кровать,kʲ-a-r-'a-w-a-t-i,k-0-r-a-v-'a-tʲ-0,,
0.6,Akhvakh,akhv1239,ваᴴ'гу,noun,"Magomedova, Abdulayeva 2007",вагон,w-'a-g-u-0,v-a-g-'o-n,,
0.6,Chamalal,cham1309,ВАЗЛИᴴ,,Magomedova 1999,вазелин,w-a-z-0-l-ĩ-0,v-a-zʲ- i-lʲ-'i-n,,
0.6,Botlikh,botl1242,запа́с,noun,"Alekseev, Azayev 2019",запас,z-a-p-'a-s,z-'a-p-a-s,,
0.6,Bagvalal,bagv1239,П́ИНСА,,Magomedova 2004,пенсия,p-'i-n-s-a-0-0,pʲ-'e-n-sʲ-i-j-a,,
0.6,Botlikh,botl1242,бор/о́,noun,"Saidova, Abusov 2012",сверло,b-o-r-'o-0,b-'u-r-a-f,,
0.6,Andi,andi1255,симишка,,Salimov 2010,семечка,s-i-m-i-ʃ-k-a,sʲ-'e-mʲ-i-tʃ-k-a,,
0.6,Bagvalal,bagv1239,̄СЕЗД,,Magomedova 2004,съезд,s:-0-e-z-d,s-j-'e-s-t,,
0.6,Godoberi,ghod1238,ТЕЛИПÓН,,Saidova 2006,телефон,t-e-l-i-p-'o-n,tʲ-i-lʲ-i-f-'o-n,,
0.6,Karata-Tukita,kara1474,ТУ'РП/А,,"Magomedova, Khalidova 2001",труба,t-'u-r-p-a,t-r-u-b-'a,1,
0.6,Chamalal,cham1309,ПИᴴКА,noun III,Magomedova 1999,финка,p-ĩ-0-k-a,fʲ-'i-n-k-a,,
0.6,Tindi,tind1238,ПИ́ᴴКА,,Magomedova 2003,финка,p-ĩ-0-k-a,fʲ-'i-n-k-a,,
0.6046511627906976,Akhvakh,akhv1239,кири'мдищи,noun,"Magomedova, Abdulayeva 2007",крепдешин,k-i-r-'i-m-d-i-ʃ:-i-0,k-0-rʲ-i-p-dʲ-i-ʃ-'i-n,,
0.6060606060606061,Karata-Tukita,kara1474,ГАЗИЙА'Т,noun,"Magomedova, Khalidova 2001",газета,g-a-z-i-j-'a-t-0,g-a-zʲ-'e-0-0-t-a,,
0.6060606060606061,Akhvakh,akhv1239,кара'вате,noun,"Magomedova, Abdulayeva 2007",кровать,k-a-r-'a-w-a-t-e,k-0-r-a-v-'a-tʲ-0,,
0.6086956521739131,Andi,andi1255,зовти,,Salimov 2010,завод,z-o-w-0-t-i,z-a-v-'o-t-0,,
0.6086956521739131,Akhvakh,akhv1239,с̄еᴴте',noun,"Magomedova, Abdulayeva 2007",сатин,s:-ẽ-t-'e-0,s-a-tʲ-'i-n,,
0.6086956521739131,Karata-Tukita,kara1474,ЩВА'ПИР,,"Magomedova, Khalidova 2001",шофер,ʃ:ʷ-'a-p-i-r,ʃ-a-fʲ-'o-r,,
0.6153846153846154,Andi,andi1255,кӏенази,,Salimov 2010,князь,k'-e-n-a-z-i,k-0-nʲ-'a-sʲ-0,,
0.6153846153846154,Botlikh,botl1242,призи́вникI,noun,"Alekseev, Azayev 2019",призывник,p-r-i-z-'i-w-n-i-k',p-rʲ-i-z-i-v-nʲ-'i-k,,
0.6153846153846154,Akhvakh,akhv1239,резе',noun,"Magomedova, Abdulayeva 2007",резина,r-e-z-'e-0-0,rʲ-i-zʲ-'i-n-a,,
0.6153846153846154,Bagvalal,bagv1239,̄СÓТИX̄,,Magomedova 2004,сотка,s:-'o-t-i-χ:-0,s-'o-t-0-k-a,,
0.6153846153846154,Karata-Tukita,kara1474,С¯О'ТИХ¯,,"Magomedova, Khalidova 2001",сотка,s:-'o-t-i-χ:-0,s-'o-t-0-k-a,,
0.6153846153846154,Botlikh,botl1242,теливи́зор,,"Alekseev, Azayev 2019",телевизор,t-e-l-i-w-'i-z-o-r,tʲ-i-lʲ-i-vʲ-'i-z-a-r,,
0.6153846153846154,Godoberi,ghod1238,ТЕЛИВИ́ЗОР,,Saidova 2006,телевизор,t-e-l-i-w-'i-z-o-r,tʲ-i-lʲ-i-vʲ-'i-z-a-r,,
0.6190476190476191,Botlikh,botl1242,кере́пдашин,,"Alekseev, Azayev 2019",крепдешин,k-e-r-'e-p-d-a-ʃ-i-n,k-0-rʲ-i-p-dʲ-i-ʃ-'i-n,,
0.6190476190476191,Bagvalal,bagv1239,АБ́ИЦАРЛГЬАР,noun,Magomedova 2004,офицерство,a-b-'i-ts-a-r-l-h-a-r,o-fʲ-i-ts-e-r-s-t-v-o,,
0.6206896551724138,Botlikh,botl1242,кара́ват,noun,"Saidova, Abusov 2012",кровать,k-a-r-'a-w-a-t,k-0-r-a-v-'a-tʲ,,
0.6206896551724138,Karata-Tukita,kara1474,КАРА'ВАТ,,"Magomedova, Khalidova 2001",кровать,k-a-r-'a-w-a-t,k-0-r-a-v-'a-tʲ,,
0.625,Chamalal,cham1309,БАДИ́РЖАᴴ,noun III,Magomedova 1999,баклажан,b-a-d-'i-r-ᴣ-ã-0,b-a-k-l-a-ᴣ-'a-n,,
0.625,Andi,andi1255,бози,,Salimov 2010,бязь,b-o-z-i,bʲ-a-zʲ-0,,
0.625,Tindi,tind1238,БÓЗИ,,Magomedova 2003,бязь,b-o-z-i,bʲ-a-zʲ-0,,
0.625,Andi,andi1255,казийати,,Salimov 2010,газета,k-a-z-i-j-a-t-i,g-a-zʲ-'e-0-0-t-a,,
0.625,Andi,andi1255,кощи,,Salimov 2010,каша,k-o-ʃ:-i,k-'a-ʃ-a,,
0.625,Tindi,tind1238,УСТУРУ́ЖИ,,Magomedova 2003,сторож,u-s-t-u-r-'u-ᴣ-i,0-s-t-'o-r-a-ʃ-0,,
0.625,Tindi,tind1238,ТÓКИ³,,Magomedova 2003,тюк,t-o-k-i,tʲ-'u-k-0,,
0.631578947368421,Botlikh,botl1242,васка,noun,"Alekseev, Azayev 2019",вакса,w-a-s-k-a,v-'a-k-s-a,,
0.631578947368421,Chamalal,cham1309,ХУРУМ,noun III,Magomedova 1999,хром,χ-u-r-u-m,x-0-r-'o-m,,
0.6363636363636364,Godoberi,ghod1238,КЯЩИ́Р,,Saidova 2006,каша,kʲ-a-ʃ:-'i-r,k-'a-ʃ-a-0,,
0.6363636363636364,Bagvalal,bagv1239,КЪИРÁЛ,,Magomedova 2004,король,q'-i-r-'a-l,k-a-r-'o-lʲ,,
0.6363636363636364,Botlikh,botl1242,къира́л,noun,"Saidova, Abusov 2012",король,q'-i-r-'a-l,k-a-r-'o-lʲ,,
0.6363636363636364,Tindi,tind1238,КЪИРÁЛ,,Magomedova 2003,король,q'-i-r-'a-l,k-a-r-'o-lʲ,,
0.6363636363636364,Botlikh,botl1242,апщи́ти,noun,"Saidova, Abusov 2012",общежитие,a-p-ʃ:-'i-0-0-t-i-0-0,a-b-ʃ:ʲ-i-ᴣ-'i-tʲ-i-j-e,,
0.6363636363636364,Botlikh,botl1242,истраховайт игьи́,verb,"Alekseev, Azayev 2019",страховать(ся),i-s-t-r-a-χ-o-w-a-j-t,0-s-t-r-a-x-a-v-'a-0-tʲ,,
0.6363636363636364,Akhvakh,akhv1239,щи'при,noun,"Magomedova, Abdulayeva 2007",шифер,ʃ:-'i-p-r-i,ʃ-'i-fʲ-i-r,1,
0.64,Akhvakh,akhv1239,биди'ра,noun,"Magomedova, Abdulayeva 2007",ведро,b-i-d-'i-r-a,vʲ-i-d-0-r-'o,,
0.64,Bagvalal,bagv1239,Б́ИДИРА,,Magomedova 2004,ведро,b-'i-d-i-r-a,vʲ-i-d-0-r-'o,,
0.64,Godoberi,ghod1238,ОДИРÁ,,Saidova 2006,ведро,0-o-d-i-r-'a,vʲ-i-d-0-r-'o,,
0.64,Tindi,tind1238,БИ́ДИРА,noun,Magomedova 2003,ведро,b-'i-d-i-r-a,vʲ-i-d-0-r-'o,,
0.64,Akhvakh,akhv1239,ч̄и'ти,noun,"Magomedova, Abdulayeva 2007",ситец,tʃ:-'i-t-i-0,sʲ-'i-tʲ-i-ts,,
0.64,Bagvalal,bagv1239,ХЪАР̄́ОЛ,,Magomedova 2004,стрелка (часовая),q-a-r-'o:-0-l,k-a-r-a-'u-l,,
0.6428571428571429,Tindi,tind1238,ПАШЛУ́ХЪИ,,Magomedova 2003,башлык,p-a-ʃ-l-'u-q-i,b-a-ʃ-l-'i-k-0,,
0.6428571428571429,Botlikh,botl1242,хъала́вур//хъара́вул,noun,"Saidova, Abusov 2012",караульный,q-a-l-'a-w-u-r,k-a-r-a-0-'u-l,,
0.6428571428571429,Karata-Tukita,kara1474,КЕ'РБЕЧ,,"Magomedova, Khalidova 2001",кирпич,k-'e-r-b-e-tʃ,kʲ-i-r-pʲ-'i-tʃ,,
0.6428571428571429,Bagvalal,bagv1239,ХЪАРÁВ,,Magomedova 2004,охранник,q-a-r-'a-w-0-0,k-a-r-a-0-'u-l,,
0.6428571428571429,Chamalal,cham1309,СУМО̅Р,noun IV,Magomedova 1999,самовар,s-u-m-o:-0-0-r,s-a-m-a-v-'a-r,,
0.6428571428571429,Tindi,tind1238,СУМÁВУР,,Magomedova 2003,самовар,s-u-m-'a-w-u-r,s-a-m-a-v-'a-r,,
0.6428571428571429,Botlikh,botl1242,хъала́вур//хъара́вул,noun,"Saidova, Abusov 2012",стрелка,q-a-l-'a-w-u-r,k-a-r-a-0-'u-l,,
0.6428571428571429,Andi,andi1255,ссандиги,,Salimov 2010,сундук,s:-a-n-d-i-g-i,s-u-n-d-'u-k-0,,
0.6451612903225806,Akhvakh,akhv1239,кIебе'кIи,noun,"Magomedova, Abdulayeva 2007",копейка,k'-e-b-'e-0-k'-i,k-a-pʲ-'e-j-k-a,,
0.6451612903225806,Bagvalal,bagv1239,КIЕБÉКI,,Magomedova 2004,копейка,k'-e-b-'e-0-k'-0,k-a-pʲ-'e-j-k-a,,
0.6451612903225806,Tindi,tind1238,КIЕБÉКIИ,,Magomedova 2003,копейка,k'-e-b-'e-0-k'-i,k-a-pʲ-'e-j-k-a,,
0.6486486486486487,Akhvakh,akhv1239,телегара,noun,"Magomedova, Abdulayeva 2007",телеграмма,t-e-l-e-g-a-r-0-a,tʲ-i-lʲ-i-g-r-'a-m-a,1,
0.6511627906976745,Godoberi,ghod1238,КИРИ́МДИШИ,,Saidova 2006,крепдешин,kʲ-i-r-'i-m-d-i-ʃ-i-0,k-0-rʲ-i-p-dʲ-i-ʃ-'i-n,,
0.6521739130434783,Karata-Tukita,kara1474,УШТИ'НЦА,,"Magomedova, Khalidova 2001",учительница,u-ʃ-0-t-'i-0-n-0-ts-a,u-tʃ-'i-tʲ-i-lʲ-nʲ-i-ts-a,,
0.6666666666666666,Akhvakh,akhv1239,биту',noun,"Magomedova, Abdulayeva 2007",бидон,b-i-t-'u-0,bʲ-i-d-'o-n,,
0.6666666666666666,Chamalal,cham1309,БИРЗИ́ᴴТ,noun III,Magomedova 1999,брезент,b-i-r-z-'i-0-t,b-rʲ-i-zʲ-'e-n-t,1,
0.6666666666666666,Bagvalal,bagv1239,БОЗ,,Magomedova 2004,бязь,b-o-z,bʲ-a-zʲ,,
0.6666666666666666,Botlikh,botl1242,виговор,noun,"Alekseev, Azayev 2019",выговор,w-i-g-o-w-o-r,v-'i-g-a-v-a-r,,
0.6666666666666666,Akhvakh,akhv1239,кази'йате,noun,"Magomedova, Abdulayeva 2007",газета,k-a-z-'i-j-a-t-e,g-a-zʲ-'e-0-0-t-a,,
0.6666666666666666,Botlikh,botl1242,газ,noun,"Alekseev, Azayev 2019",газета,g-a-z-0-0-0,g-a-zʲ-'e-t-a,,
0.6666666666666666,Godoberi,ghod1238,ЗАМИСДÁТИЛ,,Saidova 2006,заместитель,z-a-m-i-s-d-'a-t-i-l,z-a-mʲ-i-sʲ-tʲ-'i-tʲ-e-lʲ,,
0.6666666666666666,Chamalal,cham1309,ХЪАРО̅Л,,Magomedova 1999,караульный,q-a-r-0-o:-l,k-a-r-a-'u-l,,
0.6666666666666666,Akhvakh,akhv1239,катущи,noun,"Magomedova, Abdulayeva 2007",картофель,k-a-0-t-u-ʃ:-i-0-0,k-a-r-t-'o-ʃ-0-k-a,,
0.6666666666666666,Karata-Tukita,kara1474,КАРЩИ',,"Magomedova, Khalidova 2001",каша,k-a-r-ʃ:-'i,k-'a-0-ʃ-a,,
0.6666666666666666,Karata-Tukita,kara1474,КАМИ'Т|,,"Magomedova, Khalidova 2001",конфета,k-a-m-0-'i-t'-0,k-a-n-fʲ-'e-t-a,,
0.6666666666666666,Godoberi,ghod1238,КЯМИ́Т/И,,Saidova 2006,конфеты,kʲ-a-m-0-'i-t-i,k-a-n-fʲ-'e-t-a,,
0.6666666666666666,Botlikh,botl1242,ку́ржа,noun,"Alekseev, Azayev 2019",кружева,k-'u-r-ᴣ-0-0-a,k-r-u-ᴣ-e-v-a,1,
0.6666666666666666,Tindi,tind1238,ПÁРТУ,,Magomedova 2003,пальто,p-'a-r-t-u,p-a-lʲ-t-'o,,
0.6666666666666666,Botlikh,botl1242,пару́з,noun,"Saidova, Abusov 2012",папироса,p-a-0-0-r-'u-z-0,p-a-pʲ-i-r-'o-s-a,,
0.6666666666666666,Godoberi,ghod1238,ПАПУ́РУЗ/У,,Saidova 2006,папироса,p-a-p-'u-r-u-z-u,p-a-pʲ-i-r-'o-s-a,,
0.6666666666666666,Karata-Tukita,kara1474,ПАВРУ'З,,"Magomedova, Khalidova 2001",папироса,p-a-w-0-r-'u-z-0,p-a-pʲ-i-r-'o-s-a,,
0.6666666666666666,Karata-Tukita,kara1474,ПАРУ'З,,"Magomedova, Khalidova 2001",папироса,p-a-0-0-r-'u-z-0,p-a-pʲ-i-r-'o-s-a,,
0.6666666666666666,Bagvalal,bagv1239,ПÓЕЗ,,Magomedova 2004,поезд,p-'o-0-e-z-0,p-'o-j-i-s-t,,
0.6666666666666666,Botlikh,botl1242,по́езд,noun,"Saidova, Abusov 2012",поезд,p-'o-0-e-z-d,p-'o-j-i-s-t,,
0.6666666666666666,Botlikh,botl1242,пуч,noun,"Alekseev, Azayev 2019",почта,p-u-tʃ-0-0,p-'o-tʃ-t-a,,
0.6666666666666666,Botlikh,botl1242,пуч,noun,"Saidova, Abusov 2012",почта,p-u-tʃ-0-0,p-'o-tʃ-t-a,,
0.6666666666666666,Godoberi,ghod1238,ПИРКЯ́З/И,,Saidova 2006,приказ,p-i-r-kʲ-'a-z-i,p-rʲ-i-k-'a-s-0,1,
0.6666666666666666,Andi,andi1255,саржму,,Salimov 2010,сажень,s-a-r-ᴣ-m-u,s-'a-0-ᴣ-i-nʲ,,
0.6666666666666666,Chamalal,cham1309,САРЖИᴴ,noun IV,Magomedova 1999,сажень,s-a-r-ᴣ-ĩ-0,s-'a-0-ᴣ-i-nʲ,,
0.6666666666666666,Akhvakh,akhv1239,ча'ка,noun,"Magomedova, Abdulayeva 2007",сахар,tʃ-'a-k-a-0,s-'a-x-a-r,,
0.6666666666666666,Godoberi,ghod1238,ЧИ́ТИ,,Saidova 2006,ситец,tʃ-'i-t-i-0,sʲ-'i-tʲ-i-ts,,
0.6666666666666666,Tindi,tind1238,ЧИ́ТИ,,Magomedova 2003,ситец,tʃ-'i-t-i-0,sʲ-'i-tʲ-i-ts,,
0.6666666666666666,Bagvalal,bagv1239,̄СУД,,Magomedova 2004,суд,s:-u-d,s-'u-t,,
0.6666666666666666,Godoberi,ghod1238,СИЙЕЗД/И,,Saidova 2006,съезд,s-i-j-e-z-d-i,s-0-j-'e-s-t-0,,
0.6666666666666666,Andi,andi1255,тӏуз,,Salimov 2010,туз,t'-u-z,t-'u-s,,
0.6666666666666666,Botlikh,botl1242,тIуз,noun,"Saidova, Abusov 2012",туз,t'-u-z,t-'u-s,,
0.6666666666666666,Bagvalal,bagv1239,ТОК²,,Magomedova 2004,тюк,t-o-k,tʲ-'u-k,,
0.6666666666666666,Chamalal,cham1309,УМО̅НИКI,noun IV,Magomedova 1999,умывальник,u-m-0-0-o:-0-n-i-k',u-m-i-v-'a-lʲ-nʲ-i-k,,
0.6666666666666666,Botlikh,botl1242,па́рпур,,"Alekseev, Azayev 2019",фарфор,p-'a-r-p-u-r,f-a-r-f-'o-r,,
0.6666666666666666,Andi,andi1255,пайтӏун,,Salimov 2010,фаэтон,p-a-j-t'-u-n,f-a-æ-t-'o-n,,
0.6666666666666666,Godoberi,ghod1238,ПАНŌР,,Saidova 2006,фонарь,p-a-n-o:-r,f-a-n-'a-rʲ,,
0.6666666666666666,Akhvakh,akhv1239,х̄важаини,noun,"Magomedova, Abdulayeva 2007",хозяин,χ:ʷ-a-ᴣ-a-i-n-i,x-a-zʲ-'a-i-n-0,,
0.6666666666666666,Karata-Tukita,kara1474,Х¯УРУ'М,,"Magomedova, Khalidova 2001",хром,χ:-u-r-'u-m,x-0-r-'o-m,,
0.6666666666666666,Godoberi,ghod1238,УШКУ́Р,,Saidova 2006,школа,u-ʃ-k-'u-r-0,0-ʃ-k-'o-l-a,,
0.6785714285714286,Botlikh,botl1242,сивиди́телства,,"Alekseev, Azayev 2019",свидетельство,s-i-w-i-d-'i-t-e-l-s-t-w-a,s-0-vʲ-i-dʲ-'e-tʲ-i-lʲ-s-t-v-a,,
0.6808510638297872,Botlikh,botl1242,револйу́ци,noun,"Alekseev, Azayev 2019",революция,r-e-w-o-l-j-'u-ts-i-0-0,rʲ-i-v-a-lʲ-0-u-ts-i-j-a,,
0.6857142857142857,Botlikh,botl1242,купи́никI,noun,"Saidova, Abusov 2012",кофейник,k-u-p-'i-0-n-i-k',k-a-fʲ-'e-j-nʲ-i-k,,
