,language,glottocode,lemma,pos,reference,meaning_ru,target_ipa,russian_ipa,metathesis,problems
35,Botlikh_Al,botl1242,осто́р,,"Alekseev, Azayev 2019",стол,o-s-t-'o-r,0-s-t-'o-l,,
36,Botlikh_Al,botl1242,усто́р,,"Alekseev, Azayev 2019",стол,u-s-t-'o-r,0-s-t-'o-l,,
37,Godoberi,ghod1238,УСТУ́Р,,Saidova 2006,стол,u-s-t-'u-r,0-s-t-'o-l,,
38,Karata-Tukita,kara1474,УСТ|У'Л,,"Magomedova, Khalidova 2001",стол,u-s-t'-'u-l,0-s-t-'o-l,,
39,Tindi,tind1238,УСТУ́Л,,Magomedova 2003,стол,u-s-t-'u-l,0-s-t-'o-l,,
40,Bagvalal,bagv1239,ИСТÓРОЖ,,Magomedova 2004,сторож,i-s-t-'o-r-o-ʒ,0-s-t-'o-r-O-ZH,,
41,Botlikh_Al,botl1242,исто́рож,noun,"Alekseev, Azayev 2019",сторож,i-s-t-'o-r-o-ʒ,0-s-t-'o-r-O-ZH,,
42,Botlikh,botl1242,усто́рож,noun,"Saidova, Abusov 2012",сторож,u-s-t-'o-r-o-ʒ,0-s-t-'o-r-O-ZH,,
43,Godoberi,ghod1238,УСТÓРОЖ,,Saidova 2006,сторож,u-s-t-'o-r-o-ʒ,0-s-t-'o-r-O-ZH,,
44,Tindi,tind1238,УСТУРУ́ЖИ,,Magomedova 2003,сторож,u-s-t-u-r-'u-ʒ-i,0-s-t-'o-r-O-ZH-0,,
45,Botlikh_Al,botl1242,истара́х,noun,"Alekseev, Azayev 2019",страх,i-s-t-a-r-'a-χ,0-s-t-0-r-'a-x,,
46,Botlikh_Al,botl1242,истадио́н,,"Alekseev, Azayev 2019",стадион,i-s-t-a-d-i-'o-n,0-s-t-A-dʲ-I-'o-n,,
47,Andi,andi1255,истакан,,Salimov 2010,стакан,i-s-t-a-k-a-n,0-s-t-A-k-'a-n,,
48,Avar,avar1256,иста́ка/н,,Gimbatov 2006,стакан,i-s-t-'a-k-a-n,0-s-t-A-k-'a-n,,
49,Bagvalal,bagv1239,ИСТÁКАН,,Magomedova 2004,стакан,i-s-t-'a-k-a-n,0-s-t-A-k-'a-n,,
50,Botlikh,botl1242,иста́ка/н,noun,"Saidova, Abusov 2012",стакан,i-s-t-'a-k-a-n,0-s-t-A-k-'a-n,,
51,Botlikh_Al,botl1242,иста́кан,noun,"Alekseev, Azayev 2019",стакан,i-s-t-'a-k-a-n,0-s-t-A-k-'a-n,,
52,Godoberi,ghod1238,ИСТÁКЯ/Н,,Saidova 2006,стакан,i-s-t-'a-kʲ-a-n,0-s-t-A-k-'a-n,,
53,Botlikh_Al,botl1242,иста́ршина,noun,"Alekseev, Azayev 2019",старшина,i-s-t-'a-r-ʃ-i-n-a,0-s-t-A-r-ʃ-I-n-'a,,
54,Botlikh_Al,botl1242,истатйа́,noun,"Alekseev, Azayev 2019",статья,i-s-t-a-t-j-'a,0-s-t-A-tʲ-j-'a,,
55,Bagvalal,bagv1239,ИСТАЛ̄́ОВА,,Magomedova 2004,столовая,i-s-t-a-l-'oː-w-a-0-0,0-s-t-O-l-'o-v-A-j-A,,
56,Botlikh_Al,botl1242,истало́й,noun,"Alekseev, Azayev 2019",столовая,i-s-t-a-l-'o-0-0-j-0,0-s-t-O-l-'o-v-A-j-A,,
57,Botlikh_Al,botl1242,истали́ца,noun,"Alekseev, Azayev 2019",столица,i-s-t-a-l-'i-ts-a,0-s-t-O-lʲ-'i-ts-A,,
58,Bagvalal,bagv1239,ИСТРÁХ,,Magomedova 2004,страх,i-s-t-r-'a-χ,0-s-t-r-'a-x,,
60,Tindi,tind1238,ИСТРÁХИ,,Magomedova 2003,страх,i-s-t-r-'a-χ-i,0-s-t-r-'a-x-0,,
62,Botlikh_Al,botl1242,истраховайт игьи́,verb,"Alekseev, Azayev 2019",страховать,i-s-t-r-a-χ-o-w-a-j-t,0-s-t-r-A-x-O-v-'a-0-tʲ,,
63,Botlikh_Al,botl1242,истрапил,,"Alekseev, Azayev 2019",стропило,i-s-t-r-a-p-i-l-0,0-s-t-r-O-pʲ-'i-l-O,,
64,Botlikh_Al,botl1242,истудет,noun,"Alekseev, Azayev 2019",студент,i-s-t-u-d-e-0-t,0-s-t-U-dʲ-'e-n-t,,
65,Botlikh_Al,botl1242,истилйа́га,noun,"Alekseev, Azayev 2019",стиляга,i-s-t-i-l-j-'a-ɡ-a,0-s-tʲ-I-lʲ-0-'a-g-A,,
66,Botlikh_Al,botl1242,истипе́нди,noun,"Alekseev, Azayev 2019",стипендия,i-s-t-i-p-'e-n-d-i-0-0,0-s-tʲ-I-pʲ-'e-nʲ-dʲ-I-j-A,,
67,Bagvalal,bagv1239,ИШКÁП,,Magomedova 2004,шкаф,i-ʃ-k-'a-p,0-ʃ-k-'a-f,,
68,Botlikh_Al,botl1242,ишка́б,,"Alekseev, Azayev 2019",шкаф,i-ʃ-k-'a-b,0-ʃ-k-'a-f,,
69,Karata-Tukita,kara1474,И'ШКАП,,"Magomedova, Khalidova 2001",шкаф,i-ʃ-k-a-p,0-ʃ-k-'a-f,,
70,Akhvakh,akhv1239,ишка'пи,noun,"Magomedova, Abdulayeva 2007",шкаф,i-ʃ-k-'a-p-i,0-ʃ-k-'a-f-0,,
71,Godoberi,ghod1238,ИШКЯ́П/И,,Saidova 2006,шкаф,i-ʃ-kʲ-'a-p-i,0-ʃ-k-'a-f-0,,
72,Andi,andi1255,ушкол,,Salimov 2010,школа,u-ʃ-k-o-l-0,0-ʃ-k-'o-l-A,,
73,Bagvalal,bagv1239,ИШК̄́ОЛ,,Magomedova 2004,школа,i-ʃ-k-'oː-l-0,0-ʃ-k-'o-l-A,,
74,Botlikh_Al,botl1242,ушко́л,noun,"Alekseev, Azayev 2019",школа,u-ʃ-k-'o-l-0,0-ʃ-k-'o-l-A,,
75,Botlikh,botl1242,ушко́л,noun,"Saidova, Abusov 2012",школа,u-ʃ-k-'o-l-0,0-ʃ-k-'o-l-A,,
76,Chamalal,cham1309,УШКУЛ,noun III,Magomedova 1999,школа,u-ʃ-k-u-l-0,0-ʃ-k-'o-l-A,,
77,Godoberi,ghod1238,УШКУ́Р,,Saidova 2006,школа,u-ʃ-k-'u-r-0,0-ʃ-k-'o-l-A,,
78,Karata-Tukita,kara1474,УШКУ'Л,,"Magomedova, Khalidova 2001",школа,u-ʃ-k-'u-l-0,0-ʃ-k-'o-l-A,,
79,Botlikh_Al,botl1242,ишла́нг,,"Alekseev, Azayev 2019",шланг,i-ʃ-l-'a-n-ɡ,0-ʃ-l-'a-n-G,,
80,Botlikh_Al,botl1242,ишлйапа,,"Alekseev, Azayev 2019",шляпа,i-ʃ-l-j-a-p-a,0-ʃ-lʲ-0-'a-p-A,,
81,Botlikh_Al,botl1242,ишну́р,,"Alekseev, Azayev 2019",шнур,i-ʃ-n-'u-r,0-ʃ-n-'u-r,,
82,Botlikh_Al,botl1242,ишпага́т,,"Alekseev, Azayev 2019",шпагат,i-ʃ-p-a-ɡ-'a-t,0-ʃ-p-A-g-'a-t,,
83,Botlikh_Al,botl1242,ишпарга́лка,,"Alekseev, Azayev 2019",шпаргалка,i-ʃ-p-a-r-ɡ-'a-l-k-a,0-ʃ-p-A-r-g-'a-l-k-A,,
84,Botlikh_Al,botl1242,ишпри́цц,,"Alekseev, Azayev 2019",шприц,i-ʃ-p-r-'i-tsː,0-ʃ-p-rʲ-'i-ts,,
85,Botlikh_Al,botl1242,ишпи́лка,,"Alekseev, Azayev 2019",шпилька,i-ʃ-p-'i-l-k-a,0-ʃ-pʲ-'i-lʲ-k-A,,
86,Botlikh_Al,botl1242,ишпио́н,,"Alekseev, Azayev 2019",шпион,i-ʃ-p-i-'o-n,0-ʃ-pʲ-I-'o-n,,
87,Botlikh_Al,botl1242,ишта́мп,,"Alekseev, Azayev 2019",штамп,i-ʃ-t-'a-m-p,0-ʃ-t-'a-m-p,,
88,Botlikh_Al,botl1242,ишта́пел,,"Alekseev, Azayev 2019",штапель,i-ʃ-t-'a-p-e-l,0-ʃ-t-'a-pʲ-E-lʲ,,
89,Andi,andi1255,иштампил,,Salimov 2010,штемпель,i-ʃ-t-a-m-p-i-l,0-ʃ-t-'e-mʲ-pʲ-E-lʲ,,
90,Botlikh_Al,botl1242,ишти́к,,"Alekseev, Azayev 2019",штык,i-ʃ-t-'i-k,0-ʃ-t-'i-k,,
91,Botlikh_Al,botl1242,иштара́п,,"Alekseev, Azayev 2019",штраф,i-ʃ-t-a-r-'a-p,0-ʃ-t-0-r-'a-f,,
92,Bagvalal,bagv1239,БУШÁНКА,,Magomedova 2004,ушанка,b-u-ʃ-'a-n-k-a,0-U-ʃ-'a-n-k-A,,
93,Botlikh_Al,botl1242,изна́к,noun,"Alekseev, Azayev 2019",знак,i-z-n-'a-k,0-z-n-'a-k,,
94,Botlikh_Al,botl1242,изначо́к,noun,"Alekseev, Azayev 2019",значок,i-z-n-a-tʃ-'o-k,0-z-n-A-tɕ-'o-k,,
95,Botlikh_Al,botl1242,извоно́к икки́,verb,"Alekseev, Azayev 2019",звонок,i-z-w-o-n-'o-k,0-z-v-O-n-'o-k,,
96,Botlikh_Al,botl1242,извано́к,noun,"Alekseev, Azayev 2019",звонок,i-z-w-a-n-'o-k,0-z-v-O-n-'o-k,,
97,Botlikh,botl1242,извано́к,noun,"Saidova, Abusov 2012",звонок,i-z-w-a-n-'o-k,0-z-v-O-n-'o-k,,
98,Karata-Tukita,kara1474,ИЗМАНО'К,,"Magomedova, Khalidova 2001",звонок,i-z-m-a-n-'o-k,0-z-v-O-n-'o-k,,
99,Botlikh_Al,botl1242,извено́,noun,"Alekseev, Azayev 2019",звено,i-z-w-e-n-'o,0-z-vʲ-E-n-'o,,
100,Avar,avar1256,абóрт,,Gimbatov 2006,аборт,a-b-'o-r-t,A-b-'o-r-t,,
101,Botlikh_Al,botl1242,або́рт,noun,"Alekseev, Azayev 2019",аборт,a-b-'o-r-t,A-b-'o-r-t,,
102,Avar,avar1256,адвока́т,,Gimbatov 2006,адвокат,a-d-w-'a-k-a-t,A-d-v-O-k-'a-t,,
103,Bagvalal,bagv1239,АДВÁКАТ,noun,Magomedova 2004,адвокат,a-d-w-'a-k-a-t,A-d-v-O-k-'a-t,,
104,Botlikh,botl1242,адвака́т,noun,"Saidova, Abusov 2012",адвокат,a-d-w-a-k-'a-t,A-d-v-O-k-'a-t,,
105,Godoberi,ghod1238,АДВАКÁТ/И,noun,Saidova 2006,адвокат,a-d-w-a-k-'a-t-i,A-d-v-O-k-'a-t-0,,
106,Avar,avar1256,аэродрóм,,Gimbatov 2006,аэродром,a-e-r-o-d-r-'o-m,A-E-r-O-d-r-'o-m,,
107,Bagvalal,bagv1239,АЙРАДРÓМ,noun,Magomedova 2004,аэродром,a-j-r-a-d-r-'o-m,A-E-r-O-d-r-'o-m,,
108,Akhvakh,akhv1239,гIе̄рапула',noun,"Magomedova, Abdulayeva 2007",аэроплан,ʕ-0-eː-r-a-p-u-l-'a-0,0-A-E-r-O-p-0-l-'a-n,,
109,Avar,avar1256,айрѝпалан,,Gimbatov 2006,аэроплан,a-j-r-'i-p-a-l-a-n,A-E-r-O-p-0-l-'a-n,,
110,Botlikh_Al,botl1242,алипула́н,noun,"Alekseev, Azayev 2019",аэроплан,a-0-l-i-p-u-l-'a-n,A-E-r-O-p-0-l-'a-n,,
111,Godoberi,ghod1238,АЙРУПАЛÁН,noun,Saidova 2006,аэроплан,a-j-r-u-p-a-l-'a-n,A-E-r-O-p-0-l-'a-n,,
112,Andi,andi1255,айриплан,,Salimov 2010,аэроплан,a-j-r-i-p-l-a-n,a-E-r-O-p-l-'a-n,,
113,Avar,avar1256,аэропла́н,,Gimbatov 2006,аэроплан,a-e-r-o-p-l-'a-n,a-E-r-O-p-l-'a-n,,
114,Bagvalal,bagv1239,АГРАНÓМ,noun,Magomedova 2004,агроном,a-ɡ-r-a-n-'o-m,A-g-r-O-n-'o-m,,
115,Botlikh_Al,botl1242,аграно́м,noun,"Alekseev, Azayev 2019",агроном,a-ɡ-r-a-n-'o-m,A-g-r-O-n-'o-m,,
116,Godoberi,ghod1238,АГРАНÓМ,noun,Saidova 2006,агроном,a-ɡ-r-a-n-'o-m,A-g-r-O-n-'o-m,,
117,Avar,avar1256,агитатóр,,Gimbatov 2006,агитатор,a-g-i-t-a-t-'o-r,A-gʲ-I-t-'a-t-O-r,,
118,Bagvalal,bagv1239,АГИТÁТУР,noun,Magomedova 2004,агитатор,a-ɡ-i-t-'a-t-u-r,A-gʲ-I-t-'a-t-O-r,,
119,Avar,avar1256,агита́ция,,Gimbatov 2006,агитация,a-g-i-t-'a-ts-i-j-a,A-gʲ-I-t-'a-ts-I-j-A,,
120,Bagvalal,bagv1239,АКИТÁЦИЙА,noun,Magomedova 2004,агитация,a-k-i-t-'a-ts-i-j-a,A-gʲ-I-t-'a-ts-I-j-A,,
121,Bagvalal,bagv1239,АГИТПУᴴКУТ,noun,Magomedova 2004,агитпункт,a-ɡ-i-t-p-ũ-0-k-u-t,A-gʲ-I-t-p-'u-n-k-0-t,,
122,Avar,avar1256,агитпункт,,Gimbatov 2006,агитпункт,a-gʲ-i-t-p-'u-n-k-t,A-gʲ-I-t-p-'u-n-k-t,,
123,Andi,andi1255,аккаци,,Salimov 2010,акация,a-kː-a-ts-i-0-0,A-k-'a-ts-I-j-A,,
124,Avar,avar1256,ака́ция,,Gimbatov 2006,акация,a-k-'a-ts-i-j-a,A-k-'a-ts-I-j-A,,
125,Botlikh_Al,botl1242,ака́ци,noun,"Alekseev, Azayev 2019",акация,a-k-'a-ts-i-0-0,A-k-'a-ts-I-j-A,,
126,Avar,avar1256,акýла,,Gimbatov 2006,акула,a-k-'u-l-a,A-k-'u-l-A,,
127,Botlikh_Al,botl1242,аку́ла,noun,"Alekseev, Azayev 2019",акула,a-k-'u-l-a,A-k-'u-l-A,,
128,Karata-Tukita,kara1474,А'КТА,noun,"Magomedova, Khalidova 2001",акт,a-k-t-a,a-k-t-0,,
129,Avar,avar1256,акушéрка,,Gimbatov 2006,акушерка,a-k-u-ʃ-'e-r-k-a,A-k-U-ʃ-'e-r-k-A,,
130,Bagvalal,bagv1239,АКУШÉРКА,noun,Magomedova 2004,акушерка,a-k-u-ʃ-'e-r-k-a,A-k-U-ʃ-'e-r-k-A,,
131,Avar,avar1256,алфавѝт,,Gimbatov 2006,алфавит,a-l-f-a-w-'i-t,A-l-f-A-vʲ-'i-t,,
132,Akhvakh,akhv1239,алпави'ти,noun,"Magomedova, Abdulayeva 2007",алфавит,a-l-p-a-w-'i-t-i,A-l-f-A-vʲ-'i-t-0,,
133,Botlikh,botl1242,алпа́вит,noun,"Saidova, Abusov 2012",алфавит,a-l-p-'a-w-i-t,A-l-f-A-vʲ-'i-t,,
134,Godoberi,ghod1238,АЛПÁВИТИ,noun,Saidova 2006,алфавит,a-l-p-'a-w-i-t-i,A-l-f-A-vʲ-'i-t-0,,
135,Avar,avar1256,алма́с,,Gimbatov 2006,алмаз,a-l-m-'a-s,A-l-m-'a-Z,,
136,Bagvalal,bagv1239,АЛМÁС,noun,Magomedova 2004,алмаз,a-l-m-'a-s,A-l-m-'a-Z,,
137,Botlikh_Al,botl1242,алма́с,noun,"Alekseev, Azayev 2019",алмаз,a-l-m-'a-s,A-l-m-'a-Z,,
138,Chamalal,cham1309,АЛМА́С,noun III,Magomedova 1999,алмаз,a-l-m-'a-s,A-l-m-'a-Z,,
139,Karata-Tukita,kara1474,А'ЛМАС,,"Magomedova, Khalidova 2001",алмаз,a-l-m-a-s,A-l-m-'a-Z,,
140,Akhvakh,akhv1239,амас̄е',noun,"Magomedova, Abdulayeva 2007",алмаз,a-0-m-a-sː-'e,A-l-m-'a-Z-0,,
141,Andi,andi1255,алмасси,,Salimov 2010,алмаз,a-l-m-a-sː-i,A-l-m-'a-Z-0,,
142,Godoberi,ghod1238,АЛМÁС/И,noun,Saidova 2006,алмаз,a-l-m-'a-s-i,A-l-m-'a-Z-0,,
143,Tindi,tind1238,АЛМÁСИ,noun,Magomedova 2003,алмаз,a-l-m-'a-s-i,A-l-m-'a-Z-0,,
144,Avar,avar1256,альбóм,,Gimbatov 2006,альбом,a-l-b-'o-m,A-lʲ-b-'o-m,,
145,Bagvalal,bagv1239,АЛБ́УМ,noun,Magomedova 2004,альбом,a-l-b-'u-m,A-lʲ-b-'o-m,,
146,Bagvalal,bagv1239,АЛБÓМ,noun,Magomedova 2004,альбом,a-l-b-'o-m,A-lʲ-b-'o-m,,
147,Botlikh_Al,botl1242,албо́м,noun,"Alekseev, Azayev 2019",альбом,a-l-b-'o-m,A-lʲ-b-'o-m,,
148,Botlikh_Al,botl1242,алиме́нт,noun,"Alekseev, Azayev 2019",алименты,a-l-i-m-'e-n-t,A-lʲ-I-mʲ-'e-n-t,,
149,Botlikh_Al,botl1242,амана́л,noun,"Alekseev, Azayev 2019",аммонал,a-m-a-n-'a-l,A-m-A-n-'a-l,,
150,Avar,avar1256,амбулатóрия,,Gimbatov 2006,амбулатория,a-m-b-u-l-a-t-'o-r-i-j-a,A-m-b-U-l-A-t-'o-rʲ-I-j-A,,
151,Bagvalal,bagv1239,АᴴБУЛАТÓРИЙА,noun,Magomedova 2004,амбулатория,ã-0-b-u-l-a-t-'o-r-i-j-a,A-m-b-U-l-A-t-'o-rʲ-I-j-A,,
152,Botlikh_Al,botl1242,амбулато́ри,noun,"Alekseev, Azayev 2019",амбулатория,a-m-b-u-l-a-t-'o-r-i-0-0,A-m-b-U-l-A-t-'o-rʲ-I-j-A,,
153,Avar,avar1256,амнѝстия,,Gimbatov 2006,амнистия,a-m-n-'i-s-t-i-j-a,A-m-nʲ-'i-s-tʲ-I-j-A,,
154,Botlikh_Al,botl1242,амни́си,noun,"Alekseev, Azayev 2019",амнистия,a-m-n-'i-s-0-i-0-0,A-m-nʲ-'i-s-tʲ-I-j-A,,
155,Bagvalal,bagv1239,Аᴴ̄СÁБИЛ,noun,Magomedova 2004,ансамбль,ã-0-sː-'a-0-b-i-l,A-n-s-'a-m-b-0-lʲ,,
156,Botlikh_Al,botl1242,ансса́мбил,noun,"Alekseev, Azayev 2019",ансамбль,a-n-sː-'a-m-b-i-l,A-n-s-'a-m-b-0-lʲ,,
157,Avar,avar1256,анса́мбл/ь,,Gimbatov 2006,ансамбль,a-n-s-'a-m-b-l,A-n-s-'a-m-b-lʲ,,
158,Avar,avar1256,антéнна,,Gimbatov 2006,антенна,a-n-t-'e-n-a,A-n-t-'e-n-A,,
159,Bagvalal,bagv1239,АᴴТÉНА,noun,Magomedova 2004,антенна,ã-0-t-'e-n-a,A-n-t-'e-n-A,,
160,Botlikh_Al,botl1242,анте́на,noun,"Alekseev, Azayev 2019",антенна,a-n-t-'e-n-a,A-n-t-'e-n-A,,
161,Avar,avar1256,аппара́т,,Gimbatov 2006,аппарат,a-p-p-a-r-'a-t,A-p-0-A-r-'a-t,,
162,Botlikh_Al,botl1242,апара́т,noun,"Alekseev, Azayev 2019",аппарат,a-p-a-r-'a-t,A-p-A-r-'a-t,,
163,Botlikh,botl1242,апара́т,noun,"Saidova, Abusov 2012",аппарат,a-p-a-r-'a-t,A-p-A-r-'a-t,,
164,Godoberi,ghod1238,АПАРÁТ/И,noun,Saidova 2006,аппарат,a-p-a-r-'a-t-i,A-p-A-r-'a-t-0,,
165,Avar,avar1256,апрéл/ь,,Gimbatov 2006,апрель,a-p-r-'e-l,A-p-rʲ-'e-lʲ,,
166,Bagvalal,bagv1239,АПРÉЛБО̄С̄I,noun,Magomedova 2004,апрель,a-p-r-'e-l,A-p-rʲ-'e-lʲ,,
167,Botlikh_Al,botl1242,апре́л,noun,"Alekseev, Azayev 2019",апрель,a-p-r-'e-l,A-p-rʲ-'e-lʲ,,
168,Godoberi,ghod1238,АПРÉЛ,noun,Saidova 2006,апрель,a-p-r-'e-l,A-p-rʲ-'e-lʲ,,
169,Avar,avar1256,аптéк/а,,Gimbatov 2006,аптека,a-p-t-'e-k-a,A-p-tʲ-'e-k-A,,
170,Bagvalal,bagv1239,АБТÉКА,noun,Magomedova 2004,аптека,a-b-t-'e-k-a,A-p-tʲ-'e-k-A,,
171,Botlikh,botl1242,абте́ка,noun,"Saidova, Abusov 2012",аптека,a-b-t-'e-k-a,A-p-tʲ-'e-k-A,,
172,Botlikh_Al,botl1242,апте́ка,noun,"Alekseev, Azayev 2019",аптека,a-p-t-'e-k-a,A-p-tʲ-'e-k-A,,
173,Godoberi,ghod1238,АБТÉКА,noun,Saidova 2006,аптека,a-b-t-'e-k-a,A-p-tʲ-'e-k-A,,
174,Bagvalal,bagv1239,АБТ́ИКАР,noun,Magomedova 2004,аптекарь,a-b-t-'i-k-a-r,A-p-tʲ-'e-k-A-rʲ,,
175,Botlikh_Al,botl1242,апте́кар,noun,"Alekseev, Azayev 2019",аптекарь,a-p-t-'e-k-a-r,A-p-tʲ-'e-k-A-rʲ,,
176,Avar,avar1256,апельсѝн,,Gimbatov 2006,апельсин,a-p-e-l-s-'i-n,A-pʲ-E-lʲ-sʲ-'i-n,,
177,Botlikh_Al,botl1242,апилси́н,noun,"Alekseev, Azayev 2019",апельсин,a-p-i-l-s-'i-n,A-pʲ-E-lʲ-sʲ-'i-n,,
178,Avar,avar1256,а́рмия,,Gimbatov 2006,армия,a-r-m-i-j-a,a-r-mʲ-I-j-A,,
179,Karata-Tukita,kara1474,А'РМИ,noun,"Magomedova, Khalidova 2001",армия,a-r-m-i-0-0,a-r-mʲ-I-j-A,,
180,Andi,andi1255,арщун,,Salimov 2010,аршин,a-r-ʃː-u-n,A-r-ʃ-'i-n,,
181,Avar,avar1256,артéл/ь,,Gimbatov 2006,артель,a-r-t-'e-l,A-r-t-'e-lʲ,,
182,Bagvalal,bagv1239,АРТ́ИЛ,noun,Magomedova 2004,артель,a-r-t-'i-l,A-r-t-'e-lʲ,,
183,Botlikh_Al,botl1242,арте́л,noun,"Alekseev, Azayev 2019",артель,a-r-t-'e-l,A-r-t-'e-lʲ,,
184,Godoberi,ghod1238,АРТÉЛ,noun,Saidova 2006,артель,a-r-t-'e-l,A-r-t-'e-lʲ,,
185,Karata-Tukita,kara1474,АРТИ'Л,noun,"Magomedova, Khalidova 2001",артель,a-r-t-'i-l,A-r-t-'e-lʲ,,
